antecedent,consequent,confidence,lift,Rule
"['WOOD S/3 CABINET ANT WHITE FINISH', 'RETRO COFFEE MUGS ASSORTED', 'VINTAGE BILLBOARD LOVE/HATE MUG', 'VINTAGE BILLBOARD DRINK ME MUG', 'GLASS STAR FROSTED T-LIGHT HOLDER', 'SET 7 BABUSHKA NESTING BOXES']",['EDWARDIAN PARASOL RED'],1,15.5,"Promote EDWARDIAN PARASOL RED to customers who buy WOOD S/3 CABINET ANT WHITE FINISH, RETRO COFFEE MUGS ASSORTED, VINTAGE BILLBOARD LOVE/HATE MUG, VINTAGE BILLBOARD DRINK ME MUG, GLASS STAR FROSTED T-LIGHT HOLDER, SET 7 BABUSHKA NESTING BOXES"
"['VINTAGE BILLBOARD LOVE/HATE MUG', 'SAVE THE PLANET MUG', 'WOODEN PICTURE FRAME WHITE FINISH', 'VINTAGE BILLBOARD DRINK ME MUG', 'GLASS STAR FROSTED T-LIGHT HOLDER', 'KNITTED UNION FLAG HOT WATER BOTTLE', 'SET 7 BABUSHKA NESTING BOXES', 'RED WOOLLY HOTTIE WHITE HEART.', 'WHITE HANGING HEART T-LIGHT HOLDER']",['RETRO COFFEE MUGS ASSORTED'],1,15.5,"Promote RETRO COFFEE MUGS ASSORTED to customers who buy VINTAGE BILLBOARD LOVE/HATE MUG, SAVE THE PLANET MUG, WOODEN PICTURE FRAME WHITE FINISH, VINTAGE BILLBOARD DRINK ME MUG, GLASS STAR FROSTED T-LIGHT HOLDER, KNITTED UNION FLAG HOT WATER BOTTLE, SET 7 BABUSHKA NESTING BOXES, RED WOOLLY HOTTIE WHITE HEART., WHITE HANGING HEART T-LIGHT HOLDER"
"['WOOD S/3 CABINET ANT WHITE FINISH', 'RETRO COFFEE MUGS ASSORTED', 'VINTAGE BILLBOARD LOVE/HATE MUG', 'VINTAGE BILLBOARD DRINK ME MUG', 'WOODEN FRAME ANTIQUE WHITE', 'CREAM CUPID HEARTS COAT HANGER', 'KNITTED UNION FLAG HOT WATER BOTTLE']",['WHITE METAL LANTERN'],1,12.4,"Promote WHITE METAL LANTERN to customers who buy WOOD S/3 CABINET ANT WHITE FINISH, RETRO COFFEE MUGS ASSORTED, VINTAGE BILLBOARD LOVE/HATE MUG, VINTAGE BILLBOARD DRINK ME MUG, WOODEN FRAME ANTIQUE WHITE, CREAM CUPID HEARTS COAT HANGER, KNITTED UNION FLAG HOT WATER BOTTLE"
"['WOOD S/3 CABINET ANT WHITE FINISH', 'RETRO COFFEE MUGS ASSORTED', 'VINTAGE BILLBOARD LOVE/HATE MUG', 'VINTAGE BILLBOARD DRINK ME MUG', 'WOODEN FRAME ANTIQUE WHITE', 'CREAM CUPID HEARTS COAT HANGER', 'KNITTED UNION FLAG HOT WATER BOTTLE']",['WOOD 2 DRAWER CABINET WHITE FINISH'],1,12.4,"Promote WOOD 2 DRAWER CABINET WHITE FINISH to customers who buy WOOD S/3 CABINET ANT WHITE FINISH, RETRO COFFEE MUGS ASSORTED, VINTAGE BILLBOARD LOVE/HATE MUG, VINTAGE BILLBOARD DRINK ME MUG, WOODEN FRAME ANTIQUE WHITE, CREAM CUPID HEARTS COAT HANGER, KNITTED UNION FLAG HOT WATER BOTTLE"
"['WOOD S/3 CABINET ANT WHITE FINISH', 'RETRO COFFEE MUGS ASSORTED', 'VINTAGE BILLBOARD LOVE/HATE MUG', 'VINTAGE BILLBOARD DRINK ME MUG', 'WOODEN FRAME ANTIQUE WHITE', 'CREAM CUPID HEARTS COAT HANGER', 'KNITTED UNION FLAG HOT WATER BOTTLE']",['RED WOOLLY HOTTIE WHITE HEART.'],1,6.888888889,"Promote RED WOOLLY HOTTIE WHITE HEART. to customers who buy WOOD S/3 CABINET ANT WHITE FINISH, RETRO COFFEE MUGS ASSORTED, VINTAGE BILLBOARD LOVE/HATE MUG, VINTAGE BILLBOARD DRINK ME MUG, WOODEN FRAME ANTIQUE WHITE, CREAM CUPID HEARTS COAT HANGER, KNITTED UNION FLAG HOT WATER BOTTLE"
"['WOOD S/3 CABINET ANT WHITE FINISH', 'RETRO COFFEE MUGS ASSORTED', 'VINTAGE BILLBOARD LOVE/HATE MUG', 'VINTAGE BILLBOARD DRINK ME MUG', 'WOODEN FRAME ANTIQUE WHITE', 'CREAM CUPID HEARTS COAT HANGER', 'KNITTED UNION FLAG HOT WATER BOTTLE']",['SET 7 BABUSHKA NESTING BOXES'],1,10.33333333,"Promote SET 7 BABUSHKA NESTING BOXES to customers who buy WOOD S/3 CABINET ANT WHITE FINISH, RETRO COFFEE MUGS ASSORTED, VINTAGE BILLBOARD LOVE/HATE MUG, VINTAGE BILLBOARD DRINK ME MUG, WOODEN FRAME ANTIQUE WHITE, CREAM CUPID HEARTS COAT HANGER, KNITTED UNION FLAG HOT WATER BOTTLE"
"['WOOD S/3 CABINET ANT WHITE FINISH', 'RETRO COFFEE MUGS ASSORTED', 'VINTAGE BILLBOARD LOVE/HATE MUG', 'VINTAGE BILLBOARD DRINK ME MUG', 'WOODEN FRAME ANTIQUE WHITE', 'CREAM CUPID HEARTS COAT HANGER', 'KNITTED UNION FLAG HOT WATER BOTTLE']",['WHITE HANGING HEART T-LIGHT HOLDER'],1,6.2,"Promote WHITE HANGING HEART T-LIGHT HOLDER to customers who buy WOOD S/3 CABINET ANT WHITE FINISH, RETRO COFFEE MUGS ASSORTED, VINTAGE BILLBOARD LOVE/HATE MUG, VINTAGE BILLBOARD DRINK ME MUG, WOODEN FRAME ANTIQUE WHITE, CREAM CUPID HEARTS COAT HANGER, KNITTED UNION FLAG HOT WATER BOTTLE"
"['WOOD S/3 CABINET ANT WHITE FINISH', 'RETRO COFFEE MUGS ASSORTED', 'VINTAGE BILLBOARD LOVE/HATE MUG', 'VINTAGE BILLBOARD DRINK ME MUG', 'WOODEN FRAME ANTIQUE WHITE', 'CREAM CUPID HEARTS COAT HANGER', 'KNITTED UNION FLAG HOT WATER BOTTLE']",['GLASS STAR FROSTED T-LIGHT HOLDER'],1,12.4,"Promote GLASS STAR FROSTED T-LIGHT HOLDER to customers who buy WOOD S/3 CABINET ANT WHITE FINISH, RETRO COFFEE MUGS ASSORTED, VINTAGE BILLBOARD LOVE/HATE MUG, VINTAGE BILLBOARD DRINK ME MUG, WOODEN FRAME ANTIQUE WHITE, CREAM CUPID HEARTS COAT HANGER, KNITTED UNION FLAG HOT WATER BOTTLE"
"['WOOD S/3 CABINET ANT WHITE FINISH', 'RETRO COFFEE MUGS ASSORTED', 'VINTAGE BILLBOARD LOVE/HATE MUG', 'VINTAGE BILLBOARD DRINK ME MUG', 'WOODEN FRAME ANTIQUE WHITE', 'CREAM CUPID HEARTS COAT HANGER', 'KNITTED UNION FLAG HOT WATER BOTTLE']",['EDWARDIAN PARASOL RED'],1,15.5,"Promote EDWARDIAN PARASOL RED to customers who buy WOOD S/3 CABINET ANT WHITE FINISH, RETRO COFFEE MUGS ASSORTED, VINTAGE BILLBOARD LOVE/HATE MUG, VINTAGE BILLBOARD DRINK ME MUG, WOODEN FRAME ANTIQUE WHITE, CREAM CUPID HEARTS COAT HANGER, KNITTED UNION FLAG HOT WATER BOTTLE"
"['VINTAGE BILLBOARD LOVE/HATE MUG', 'SAVE THE PLANET MUG', 'WOODEN PICTURE FRAME WHITE FINISH', 'VINTAGE BILLBOARD DRINK ME MUG', 'GLASS STAR FROSTED T-LIGHT HOLDER', 'KNITTED UNION FLAG HOT WATER BOTTLE', 'SET 7 BABUSHKA NESTING BOXES', 'RED WOOLLY HOTTIE WHITE HEART.', 'WHITE HANGING HEART T-LIGHT HOLDER']",['WOOD S/3 CABINET ANT WHITE FINISH'],1,15.5,"Promote WOOD S/3 CABINET ANT WHITE FINISH to customers who buy VINTAGE BILLBOARD LOVE/HATE MUG, SAVE THE PLANET MUG, WOODEN PICTURE FRAME WHITE FINISH, VINTAGE BILLBOARD DRINK ME MUG, GLASS STAR FROSTED T-LIGHT HOLDER, KNITTED UNION FLAG HOT WATER BOTTLE, SET 7 BABUSHKA NESTING BOXES, RED WOOLLY HOTTIE WHITE HEART., WHITE HANGING HEART T-LIGHT HOLDER"
,,,,
,,,,
,,,,Marketing Strategies:
,,,,
,,,,Bundle these items together for promotions.
